104107,A,2023-07-03 09:25:00,120.0,120.0,120.0,120.0,100
11168683,A,2023-11-01 05:44:46,128.0,128.0,128.0,128.0,21455
7350226,A,2023-10-18 14:28:14,114.0,114.0,114.0,114.0,30565
5431127,A,2023-08-30 14:00:56,112.0,112.0,112.0,112.0,21865
12654494,A,2023-09-01 01:15:50,121.0,120.0,121.0,121.0,113628
15642466,A,2023-08-30 21:05:56,119.0,119.0,120.0,120.0,7065
6178254,A,2023-08-19 09:03:24,110.0,110.0,111.0,110.0,38140
1181233,A,2023-11-25 17:58:52,115.0,115.0,115.0,115.0,47056
7984464,A,2023-08-20 12:06:53,119.0,118.0,118.0,118.0,16172
2599088,A,2023-11-23 18:37:54,110.0,109.0,109.0,109.0,3917
9148689,A,2023-12-08 14:58:18,135.0,134.0,135.0,135.0,24397
8034564,A,2023-10-06 06:06:50,107.0,107.0,107.0,107.0,11609
14657257,A,2023-07-25 01:12:30,123.0,124.0,124.0,124.0,29372
13495069,A,2023-08-09 21:25:15,106.0,106.0,106.0,106.0,35153
9028931,A,2023-08-04 17:57:39,111.0,111.0,111.0,111.0,28886
11182619,A,2023-11-24 19:09:56,108.0,109.0,108.0,109.0,12973
12969909,A,2023-08-14 04:48:56,107.0,107.0,107.0,107.0,14501
5562268,A,2023-11-17 01:01:07,131.0,131.0,131.0,131.0,10893
12030896,A,2023-09-07 21:03:54,132.0,131.0,131.0,131.0,5384
5199613,A,2023-12-07 06:13:33,121.0,120.0,121.0,120.0,233
12643638,A,2023-12-04 10:25:15,111.0,111.0,112.0,112.0,20728
3757889,A,2023-07-10 22:56:39,130.0,130.0,131.0,130.0,5859
2536096,A,2023-07-28 05:26:37,109.0,109.0,110.0,110.0,24199
1120380,A,2023-10-20 00:54:04,107.0,107.0,107.0,107.0,50414
16762326,A,2023-09-30 02:30:23,128.0,129.0,129.0,129.0,41044
9642442,A,2023-07-29 19:03:41,120.0,120.0,120.0,120.0,64218
3335670,A,2023-11-25 11:45:55,129.0,129.0,129.0,129.0,10657
